District,Sub-District,Estate,Link
Central and Western,Shek Tong Tsui,(Shek Tong Tsui) Des Voeu...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Shek-Tong-Tsui/building-group(Shek%20Tong%20Tsui)%20Des%20Voeux%20Road%20West%20-%20Shek%20Tong%20Tsui%20Section%20%7C%20Whitty%20Street%201960's%20private%20residential%20buildings?field=t_pop&sort=default&detailcode=CW0136
Central and Western,Shek Tong Tsui,(Shek Tong Tsui) Wing Wah...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Shek-Tong-Tsui/building-group(Shek%20Tong%20Tsui)%20Wing%20Wah%20Mansion%20%7C%20Western%20Court%20(Queen's%20Road%20West%201960's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0137
Central and Western,Shek Tong Tsui,(Shek Tong Tsui) Chong Yi...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Shek-Tong-Tsui/building-group(Shek%20Tong%20Tsui)%20Chong%20Yip%20Centre%20(Des%20Voeux%20Road%20West%20%7C%20Whitty%20Street%20%7C%20Queen's%20Road%20West%201980's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0138
Central and Western,Shek Tong Tsui,(Shek Tong Tsui) Queen's ...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Shek-Tong-Tsui/building-group(Shek%20Tong%20Tsui)%20Queen's%20Road%20West%20-%20Shek%20Tong%20Tsui%20Section%201970-1980's%20private%20residential%20buildings?field=t_pop&sort=default&detailcode=CW0139
Central and Western,Shek Tong Tsui,(Shek Tong Tsui) Kwan Yic...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Shek-Tong-Tsui/building-group(Shek%20Tong%20Tsui)%20Kwan%20Yick%20Building%20Phase%20I%20(Des%20Voeux%20Road%20West%201970's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0140
Central and Western,Shek Tong Tsui,(Shek Tong Tsui) Yip Cheo...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Shek-Tong-Tsui/building-group(Shek%20Tong%20Tsui)%20Yip%20Cheong%20Building%20(Hill%20Road%201970's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0141
Central and Western,Shek Tong Tsui,(Shek Tong Tsui) Harbour ...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Shek-Tong-Tsui/building-group(Shek%20Tong%20Tsui)%20Harbour%20One%20%7C%20High%20West%20%7C%20Eight%20South%20Lane%20%7C%20Eivissa%20Crest%20%7C%20Novum%20West%20(Queen's%20Road%20West%20%7C%20Clarence%20Terrace%20%7C%20Hill%20Road%202000's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0146
Central and Western,Sai Ying Pun,(Sai Ying Pun) Connaught ...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Sai-Ying-Pun/building-group(Sai%20Ying%20Pun)%20Connaught%20Road%20West%20%7C%20Des%20Voeux%20Road%20West%20-%20Sai%20Yung%20Pun%20Section%201970-1980's%20private%20residential%20buildings%20with%20more%20than%209%20storeys?field=t_pop&sort=default&detailcode=CW0091
Central and Western,Sai Ying Pun,(Sai Ying Pun) Queen's Ro...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Sai-Ying-Pun/building-group(Sai%20Ying%20Pun)%20Queen's%20Road%20West%20-%20Sai%20Ying%20Pun%20Section%20%7C%20Des%20Voeux%20Road%20West%20-%20Sai%20Ying%20Pun%20Section%201970's%20private%20residential%20buildings%20with%20more%20than%209%20storeys?field=t_pop&sort=default&detailcode=CW0092
Central and Western,Sai Ying Pun,(Sai Ying Pun) Kwan Yick ...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Sai-Ying-Pun/building-group(Sai%20Ying%20Pun)%20Kwan%20Yick%20Building%20Phase%20II%20(Des%20Voeux%20Road%20West%20-%20Sai%20Ying%20Pun%20Section%201970's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0093
