Buffer_Diameter_m,% built-up,% vegetated,% bare soil,% rock,% water,% dense/high vegetation,% sparse/low vegetation,Building fraction (%),Road/impervious cover fraction (%),Average SVF,Average building height (m),Std dev of building height (m),District
7000,8.289436928092925,0.123177051825766,0.0,0.0,0.7552588726767615,0.0,0.0,7.62641922512608,0.3872922938465767,0.9237358077487392,40.638640132669984,41.05614331669918,SHA_TIN
12000,3.848025911147887,0.0609629084677615,0.0,0.0,0.4544609058704215,0.0,0.0,3.5460030428582536,0.1887079747918763,0.9645399695714174,40.39414270500533,42.19910221550006,SHA_TIN
7000,1.0496987345476494,0.0146191705500396,0.0,0.0,1.279792612535672,0.0,0.0,1.010589777346497,0.0399909646635176,0.9898941022265352,17.29491525423729,18.994927927807197,SOUTHERN
12000,1.210390456944792,0.0289936235950199,0.0,0.0,0.5090846923701285,0.0,0.0,1.1082010223905423,0.0435147418008884,0.9889179897760946,28.57177615571776,34.35107953014515,SOUTHERN
12000,0.2413969998061869,0.0008177132210638,0.0,0.0,0.2398630600461485,0.0,0.0,0.2313258077351257,0.0157038307416328,0.9976867419226488,9.411057692307692,2.2085650658509466,TAI_PO
7000,1.0460943931878888,0.1029730876483417,0.0,0.0,0.0873358986778681,0.0,0.0,1.0214564978713858,0.0439657052095711,0.989785435021286,40.695238095238096,50.40963753255061,TSUEN_WAN
12000,1.8424390597290612,0.1413760978246712,0.0,0.0,0.0646053463105965,0.0,0.0,1.5960382485172195,0.1198438752873645,0.9840396175148278,47.07033639143731,47.111484656285015,TSUEN_WAN
7000,1.1493129754894065,2.819214138462401,0.0,0.0,0.0059983397156791,0.0,0.0,1.119986868317901,0.0371046406484618,0.988800131316821,47.77659574468085,49.397478115794655,TUEN_MUN
12000,2.3404399803393074,0.9955147023926472,0.0,0.0,0.1701755074401822,0.0,0.0,2.120178507346084,0.1371011220197273,0.9787982149265392,41.920325203252034,40.190871597285394,TUEN_MUN
7000,4.935123714909946,0.0364436990062781,0.0,9.426023064980368e-05,0.0048819154885624,0.0,0.0,4.385218257340984,0.1582823152462567,0.9561478174265902,46.08618957940992,36.08697352783564,WAN_CHAI
12000,1.679312930767922,0.0124009809118581,0.0,3.20746618183351e-05,0.0016612073537468,0.0,0.0,1.4921923236784884,0.0538599544935164,0.9850780767632152,46.08618957940992,36.08697352783564,WAN_CHAI
7000,3.255196409624622,0.0158467814716074,0.0,0.001057811247576,0.0399267319853478,0.0,0.0,3.0362728020719603,0.1552680444640054,0.9696372719792804,52.614080834419816,43.47841317754504,WONG_TAI_SIN
12000,1.1076710004972372,0.0053923075840885,0.0,0.0003599496606334,0.0135861796339027,0.0,0.0,1.033176161816125,0.0528342651301115,0.9896682383818388,52.614080834419816,43.47841317754504,WONG_TAI_SIN
7000,8.99011186120234,0.0193938835471211,0.0,0.0,0.022886462912908,0.0,0.0,7.992982131950963,0.6899159450094005,0.9200701786804903,37.32242156429518,36.333393571015456,YAU_TSIM_MONG
12000,3.059135286103491,0.0065993075958952,0.0,0.0,0.0077877547411976,0.0,0.0,2.719834197677684,0.2347630646212479,0.9728016580232232,37.32242156429518,36.333393571015456,YAU_TSIM_MONG
7000,7.337189892668692,0.1038115292448584,0.0,0.0,13.94779810736636,0.0,0.0,6.735701325885903,0.4028302835489521,0.932642986741141,15.63250968992248,26.40056719915365,YUEN_LONG
12000,3.683700571889355,0.1070954629810405,0.0,0.0,6.4701865592910375,0.0,0.0,3.405166848944785,0.2028554159119828,0.965948331510552,13.581740684724323,22.35060922118587,YUEN_LONG
