Series,Variable,Model,Scenarios,Unit,2020,2025,2030,2035,2040,2045,2050
Surface temperature,95th percentile,REMIND-MAgPIE,Below 2°C,Degree Celsius,27.032,27.261,27.41,27.595,27.72,27.802,27.899
Surface temperature,95th percentile,REMIND-MAgPIE,Current Policies (Hot house world scenario),Degree Celsius,27.032,27.214,27.364,27.553,27.72,27.914,28.105
Surface temperature,95th percentile,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),Degree Celsius,27.032,27.214,27.364,27.592,27.752,27.845,27.937
Surface temperature,95th percentile,REMIND-MAgPIE,Fragmented World,Degree Celsius,27.032,27.214,27.364,27.55,27.718,27.894,28.041
Surface temperature,95th percentile,REMIND-MAgPIE,Low Demand,Degree Celsius,27.032,27.265,27.411,27.572,27.633,27.64,27.652
Surface temperature,95th percentile,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),Degree Celsius,27.032,27.213,27.366,27.549,27.705,27.848,27.977
Surface temperature,95th percentile,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),Degree Celsius,27.032,27.263,27.415,27.575,27.642,27.662,27.708
Emissions and CCS,Bioenergy with CCS,GCAM,Below 2°C,Mt CO2/yr,0.012,0.015,0.019,0.02,0.013,0.011,0.044
Emissions and CCS,Bioenergy with CCS,GCAM,Current Policies (Hot house world scenario),Mt CO2/yr,0.014,0.02,0.025,0.029,0.036,0.037,0.03
Emissions and CCS,Bioenergy with CCS,GCAM,Delayed Transition (Disorderly scenario),Mt CO2/yr,0.014,0.02,0.024,0.024,0.015,0.015,0.177
Emissions and CCS,Bioenergy with CCS,GCAM,Fragmented World,Mt CO2/yr,0.013,0.018,0.022,0.029,0.045,0.043,0.048
Emissions and CCS,Bioenergy with CCS,GCAM,Low Demand,Mt CO2/yr,0.012,0.014,0.017,0.041,0.054,0.799,13.218
Emissions and CCS,Bioenergy with CCS,GCAM,Nationally Determined Contributions (NDCs),Mt CO2/yr,0.014,0.018,0.01,0.012,0.013,0.008,0.005
Emissions and CCS,Bioenergy with CCS,GCAM,Net Zero 2050 (Orderly scenario),Mt CO2/yr,0.012,0.014,0.016,0.016,0.068,1.001,23.416
Emissions and CCS,Bioenergy with CCS,MESSAGEix-GLOBIOM,Below 2°C,Mt CO2/yr,0,0,0,0,0,0.031,0.081
Emissions and CCS,Bioenergy with CCS,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,Bioenergy with CCS,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),Mt CO2/yr,0,0,0,0,0,0.018,0.035
Emissions and CCS,Bioenergy with CCS,MESSAGEix-GLOBIOM,Fragmented World,Mt CO2/yr,0,0,0,0,0.003,0.011,0.027
Emissions and CCS,Bioenergy with CCS,MESSAGEix-GLOBIOM,Low Demand,Mt CO2/yr,0,0,0.001,0.003,0.006,0.032,0.095
Emissions and CCS,Bioenergy with CCS,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,Bioenergy with CCS,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),Mt CO2/yr,0,0,0,0.005,0.011,0.044,0.062
Emissions and CCS,Bioenergy with CCS,REMIND-MAgPIE,Below 2°C,Mt CO2/yr,0,0,0.02,0.07,0.238,0.758,1.558
Emissions and CCS,Bioenergy with CCS,REMIND-MAgPIE,Current Policies (Hot house world scenario),Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,Bioenergy with CCS,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),Mt CO2/yr,0,0,0,0.016,0.297,1.365,3.628
Emissions and CCS,Bioenergy with CCS,REMIND-MAgPIE,Fragmented World,Mt CO2/yr,0,0,0,0.005,0.04,0.143,0.327
Emissions and CCS,Bioenergy with CCS,REMIND-MAgPIE,Low Demand,Mt CO2/yr,0,0.002,0.031,0.348,1.251,2.782,4.345
Emissions and CCS,Bioenergy with CCS,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),Mt CO2/yr,0,0,0,0,0.003,0.004,0.003
Emissions and CCS,Bioenergy with CCS,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),Mt CO2/yr,0,0.003,0.07,0.518,1.72,3.591,4.894
Primary energy,Biomass,GCAM,Below 2°C,EJ/yr,0.01,0.012,0.016,0.013,0.008,0.006,0.006
Primary energy,Biomass,GCAM,Current Policies (Hot house world scenario),EJ/yr,0.012,0.016,0.02,0.024,0.031,0.036,0.038
Primary energy,Biomass,GCAM,Delayed Transition (Disorderly scenario),EJ/yr,0.011,0.015,0.02,0.018,0.009,0.006,0.007
Primary energy,Biomass,GCAM,Fragmented World,EJ/yr,0.011,0.014,0.017,0.023,0.023,0.012,0.009
Primary energy,Biomass,GCAM,Low Demand,EJ/yr,0.01,0.012,0.017,0.016,0.009,0.015,0.192
Primary energy,Biomass,GCAM,Nationally Determined Contributions (NDCs),EJ/yr,0.011,0.015,0.014,0.015,0.017,0.015,0.013
Primary energy,Biomass,GCAM,Net Zero 2050 (Orderly scenario),EJ/yr,0.01,0.012,0.012,0.007,0.007,0.015,0.388
Primary energy,Biomass,MESSAGEix-GLOBIOM,Below 2°C,EJ/yr,0.008,0.007,0.007,0.007,0.007,0.009,0.012
Primary energy,Biomass,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),EJ/yr,0.008,0.007,0.006,0.007,0.006,0.008,0.009
Primary energy,Biomass,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),EJ/yr,0.007,0.007,0.006,0.007,0.006,0.007,0.009
Primary energy,Biomass,MESSAGEix-GLOBIOM,Fragmented World,EJ/yr,0.007,0.007,0.006,0.006,0.004,0.004,0.004
Primary energy,Biomass,MESSAGEix-GLOBIOM,Low Demand,EJ/yr,0.008,0.009,0.016,0.018,0.017,0.024,0.032
Primary energy,Biomass,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),EJ/yr,0.007,0.008,0.006,0.007,0.006,0.007,0.008
Primary energy,Biomass,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),EJ/yr,0.008,0.008,0.01,0.015,0.024,0.036,0.037
Primary energy,Biomass,REMIND-MAgPIE,Below 2°C,EJ/yr,0.008,0.01,0.014,0.02,0.03,0.058,0.089
Primary energy,Biomass,REMIND-MAgPIE,Current Policies (Hot house world scenario),EJ/yr,0.01,0.01,0.016,0.029,0.046,0.066,0.062
Primary energy,Biomass,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),EJ/yr,0.01,0.01,0.016,0.027,0.036,0.06,0.103
Primary energy,Biomass,REMIND-MAgPIE,Fragmented World,EJ/yr,0.008,0.009,0.015,0.027,0.041,0.056,0.075
Primary energy,Biomass,REMIND-MAgPIE,Low Demand,EJ/yr,0.007,0.009,0.013,0.035,0.066,0.099,0.132
Primary energy,Biomass,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),EJ/yr,0.008,0.01,0.015,0.027,0.046,0.066,0.059
Primary energy,Biomass,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),EJ/yr,0.007,0.009,0.014,0.027,0.054,0.089,0.121
Primary energy,Coal,GCAM,Below 2°C,EJ/yr,0.332,0.243,0.225,0.215,0.201,0.186,0.171
Primary energy,Coal,GCAM,Current Policies (Hot house world scenario),EJ/yr,0.337,0.262,0.266,0.281,0.299,0.317,0.332
Primary energy,Coal,GCAM,Delayed Transition (Disorderly scenario),EJ/yr,0.334,0.257,0.258,0.23,0.206,0.184,0.168
Primary energy,Coal,GCAM,Fragmented World,EJ/yr,0.328,0.251,0.251,0.234,0.217,0.2,0.183
Primary energy,Coal,GCAM,Low Demand,EJ/yr,0.334,0.256,0.226,0.2,0.17,0.154,0.139
Primary energy,Coal,GCAM,Nationally Determined Contributions (NDCs),EJ/yr,0.337,0.258,0.264,0.278,0.295,0.31,0.315
Primary energy,Coal,GCAM,Net Zero 2050 (Orderly scenario),EJ/yr,0.339,0.252,0.21,0.181,0.161,0.147,0.136
Primary energy,Coal,MESSAGEix-GLOBIOM,Below 2°C,EJ/yr,0.248,0.169,0.131,0.111,0.099,0.079,0.081
Primary energy,Coal,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),EJ/yr,0.244,0.186,0.164,0.144,0.128,0.125,0.132
Primary energy,Coal,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),EJ/yr,0.241,0.183,0.16,0.111,0.082,0.084,0.089
Primary energy,Coal,MESSAGEix-GLOBIOM,Fragmented World,EJ/yr,0.242,0.182,0.16,0.132,0.114,0.101,0.103
Primary energy,Coal,MESSAGEix-GLOBIOM,Low Demand,EJ/yr,0.246,0.169,0.103,0.093,0.084,0.087,0.089
Primary energy,Coal,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),EJ/yr,0.244,0.165,0.139,0.133,0.116,0.104,0.108
Primary energy,Coal,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),EJ/yr,0.257,0.179,0.122,0.106,0.123,0.095,0.1
Primary energy,Coal,REMIND-MAgPIE,Below 2°C,EJ/yr,0.241,0.186,0.151,0.131,0.124,0.241,0.093
Primary energy,Coal,REMIND-MAgPIE,Current Policies (Hot house world scenario),EJ/yr,0.242,0.196,0.18,0.175,0.175,0.176,0.177
Primary energy,Coal,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),EJ/yr,0.239,0.191,0.173,0.157,0.127,0.102,0.187
Primary energy,Coal,REMIND-MAgPIE,Fragmented World,EJ/yr,0.238,0.189,0.171,0.164,0.148,0.138,0.14
