Series,Variable,Model,Scenarios,Unit,2020,2025,2030,2035,2040,2045,2050
Primary energy,Nuclear,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),EJ/yr,0.001,0.002,0.003,0.004,0.005,0.006,0.007
Primary energy,Oil,GCAM,Below 2°C,EJ/yr,0.163,0.182,0.21,0.231,0.254,0.266,0.278
Primary energy,Oil,GCAM,Current Policies (Hot house world scenario),EJ/yr,0.193,0.215,0.233,0.25,0.265,0.272,0.278
Primary energy,Oil,GCAM,Delayed Transition (Disorderly scenario),EJ/yr,0.192,0.214,0.232,0.228,0.256,0.272,0.293
Primary energy,Oil,GCAM,Fragmented World,EJ/yr,0.18,0.201,0.22,0.246,0.27,0.289,0.3
Primary energy,Oil,GCAM,Low Demand,EJ/yr,0.159,0.177,0.204,0.224,0.25,0.279,0.268
Primary energy,Oil,GCAM,Nationally Determined Contributions (NDCs),EJ/yr,0.189,0.21,0.233,0.251,0.268,0.278,0.287
Primary energy,Oil,GCAM,Net Zero 2050 (Orderly scenario),EJ/yr,0.157,0.175,0.206,0.227,0.248,0.293,0.211
Primary energy,Oil,MESSAGEix-GLOBIOM,Below 2°C,EJ/yr,0.09,0.108,0.12,0.148,0.163,0.147,0.13
Primary energy,Oil,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),EJ/yr,0.145,0.169,0.2,0.218,0.244,0.246,0.234
Primary energy,Oil,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),EJ/yr,0.145,0.169,0.199,0.148,0.158,0.139,0.123
Primary energy,Oil,MESSAGEix-GLOBIOM,Fragmented World,EJ/yr,0.122,0.148,0.178,0.197,0.222,0.218,0.187
Primary energy,Oil,MESSAGEix-GLOBIOM,Low Demand,EJ/yr,0.17,0.191,0.176,0.166,0.163,0.168,0.156
Primary energy,Oil,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),EJ/yr,0.129,0.154,0.184,0.199,0.224,0.219,0.191
Primary energy,Oil,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),EJ/yr,0.087,0.103,0.105,0.121,0.121,0.112,0.098
Primary energy,Oil,REMIND-MAgPIE,Below 2°C,EJ/yr,0.13,0.139,0.146,0.151,0.155,0.151,0.138
Primary energy,Oil,REMIND-MAgPIE,Current Policies (Hot house world scenario),EJ/yr,0.135,0.146,0.156,0.162,0.169,0.167,0.16
Primary energy,Oil,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),EJ/yr,0.135,0.145,0.155,0.151,0.148,0.149,0.135
Primary energy,Oil,REMIND-MAgPIE,Fragmented World,EJ/yr,0.139,0.148,0.157,0.162,0.166,0.161,0.15
Primary energy,Oil,REMIND-MAgPIE,Low Demand,EJ/yr,0.122,0.133,0.135,0.137,0.136,0.128,0.121
Primary energy,Oil,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),EJ/yr,0.141,0.15,0.16,0.166,0.173,0.172,0.168
Primary energy,Oil,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),EJ/yr,0.121,0.129,0.134,0.135,0.135,0.122,0.097
Carbon price,Price: Carbon,GCAM,Below 2°C,US$2010/t CO2,0,2.567,51.99,83.971,111.992,145.412,228.693
Carbon price,Price: Carbon,GCAM,Current Policies (Hot house world scenario),US$2010/t CO2,0,0,0,0,0,0,0
Carbon price,Price: Carbon,GCAM,Delayed Transition (Disorderly scenario),US$2010/t CO2,0,0,0,52.429,104.915,162.339,427.409
Carbon price,Price: Carbon,GCAM,Fragmented World,US$2010/t CO2,0,0,0,38.672,80.64,120.124,173.505
Carbon price,Price: Carbon,GCAM,Low Demand,US$2010/t CO2,0,0,63.497,117.238,189.335,644.47,"1,002.11"
Carbon price,Price: Carbon,GCAM,Nationally Determined Contributions (NDCs),US$2010/t CO2,0,0,0,0,0,0,4.136
Carbon price,Price: Carbon,GCAM,Net Zero 2050 (Orderly scenario),US$2010/t CO2,0,6.82,98.455,166.334,270.729,918.286,"1,389.28"
Carbon price,Price: Carbon,MESSAGEix-GLOBIOM,Below 2°C,US$2010/t CO2,0,0,41.67,54.906,71.125,93.019,114.184
Carbon price,Price: Carbon,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),US$2010/t CO2,0,0,0,2.158,4.316,6.474,8.632
Carbon price,Price: Carbon,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),US$2010/t CO2,0,0,0,77.225,96.678,123.472,156.078
Carbon price,Price: Carbon,MESSAGEix-GLOBIOM,Fragmented World,US$2010/t CO2,0,0,0,5.807,14.923,1.252,34.815
Carbon price,Price: Carbon,MESSAGEix-GLOBIOM,Low Demand,US$2010/t CO2,0,0,219.285,267.005,341.207,457.62,558.049
Carbon price,Price: Carbon,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),US$2010/t CO2,0,0,0,7.976,15.952,23.927,31.903
Carbon price,Price: Carbon,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),US$2010/t CO2,0,0,668.32,636.404,824.325,"1,029.26","1,245.45"
Carbon price,Price: Carbon,REMIND-MAgPIE,Below 2°C,US$2010/t CO2,5.539,32.091,44.304,59.173,77.833,101.421,131.075
Carbon price,Price: Carbon,REMIND-MAgPIE,Current Policies (Hot house world scenario),US$2010/t CO2,5.539,5.561,5.63,5.751,5.929,6.169,6.477
Carbon price,Price: Carbon,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),US$2010/t CO2,5.539,5.561,5.63,116.292,204.124,319.646,464.266
Carbon price,Price: Carbon,REMIND-MAgPIE,Fragmented World,US$2010/t CO2,5.539,5.561,5.63,21.394,38.924,62.872,93.966
Carbon price,Price: Carbon,REMIND-MAgPIE,Low Demand,US$2010/t CO2,5.539,76.323,105.364,140.727,185.102,241.197,311.715
Carbon price,Price: Carbon,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),US$2010/t CO2,5.539,3.323,1.108,8.229,15.35,22.471,29.593
Carbon price,Price: Carbon,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),US$2010/t CO2,5.539,128.894,177.938,254.782,355.428,484.434,646.352
Energy prices,Price: Coal,GCAM,Below 2°C,US$2010/GJ,1.98,2.057,2.17,2.174,2.157,2.17,2.356
Energy prices,Price: Coal,GCAM,Current Policies (Hot house world scenario),US$2010/GJ,1.98,2.034,2.145,2.189,2.2,2.229,2.243
Energy prices,Price: Coal,GCAM,Delayed Transition (Disorderly scenario),US$2010/GJ,1.98,2.034,2.145,2.13,2.058,1.939,2.995
Energy prices,Price: Coal,GCAM,Fragmented World,US$2010/GJ,1.98,2.034,2.145,2.083,2.001,2.053,1.902
Energy prices,Price: Coal,GCAM,Low Demand,US$2010/GJ,1.98,2.043,1.996,1.995,1.91,3.247,3.765
Energy prices,Price: Coal,GCAM,Nationally Determined Contributions (NDCs),US$2010/GJ,1.98,2.009,2.074,2.126,2.131,2.154,2.15
Energy prices,Price: Coal,GCAM,Net Zero 2050 (Orderly scenario),US$2010/GJ,1.98,2.051,1.98,1.89,2.354,3.72,4.34
Energy prices,Price: Coal,MESSAGEix-GLOBIOM,Below 2°C,US$2010/GJ,2.448,2.451,1.716,1.988,1.861,2.31,2.073
Energy prices,Price: Coal,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),US$2010/GJ,2.448,2.451,2.487,2.499,2.565,2.569,2.659
Energy prices,Price: Coal,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),US$2010/GJ,2.448,2.451,2.487,2.039,2.085,2.378,2.443
Energy prices,Price: Coal,MESSAGEix-GLOBIOM,Fragmented World,US$2010/GJ,2.448,2.451,2.487,2.779,2.631,2.559,2.826
Energy prices,Price: Coal,MESSAGEix-GLOBIOM,Low Demand,US$2010/GJ,2.448,2.451,2.989,2.807,3.748,3.865,5.03
Energy prices,Price: Coal,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),US$2010/GJ,2.448,2.451,2.487,2.561,2.656,1.853,2.515
Energy prices,Price: Coal,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),US$2010/GJ,2.448,2.451,5.44,4.866,6.416,7.027,8.86
Energy prices,Price: Coal,REMIND-MAgPIE,Below 2°C,US$2010/GJ,2.034,2.161,1.783,1.615,1.419,1.423,1.494
Energy prices,Price: Coal,REMIND-MAgPIE,Current Policies (Hot house world scenario),US$2010/GJ,2.034,2.223,2.263,2.307,2.384,2.5,2.793
Energy prices,Price: Coal,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),US$2010/GJ,2.034,2.223,2.263,2.3,1.886,1.427,1.478
Energy prices,Price: Coal,REMIND-MAgPIE,Fragmented World,US$2010/GJ,2.034,2.223,2.263,2.246,2.107,2.036,2.477
Energy prices,Price: Coal,REMIND-MAgPIE,Low Demand,US$2010/GJ,2.034,2.329,1.629,1.221,1.26,1.194,1.557
Energy prices,Price: Coal,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),US$2010/GJ,2.034,2.132,2.088,2.08,1.949,1.835,1.925
Energy prices,Price: Coal,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),US$2010/GJ,2.034,2.617,1.777,1.444,1.374,1.442,1.739
Energy prices,Price: Gas,GCAM,Below 2°C,US$2010/GJ,5.923,6.311,6.627,7.029,7.457,7.823,8.181
Energy prices,Price: Gas,GCAM,Current Policies (Hot house world scenario),US$2010/GJ,5.923,6.151,6.154,6.262,6.462,6.532,6.625
Energy prices,Price: Gas,GCAM,Delayed Transition (Disorderly scenario),US$2010/GJ,5.923,6.151,6.154,6.678,7.213,7.664,8.457
Energy prices,Price: Gas,GCAM,Fragmented World,US$2010/GJ,5.923,6.151,6.154,6.395,6.712,6.84,6.904
Energy prices,Price: Gas,GCAM,Low Demand,US$2010/GJ,5.923,6.168,6.393,6.959,7.598,9.02,9.776
Energy prices,Price: Gas,GCAM,Nationally Determined Contributions (NDCs),US$2010/GJ,5.923,6.168,6.201,6.308,6.492,6.523,6.578
Energy prices,Price: Gas,GCAM,Net Zero 2050 (Orderly scenario),US$2010/GJ,5.923,6.337,6.955,7.629,8.317,10.191,11.116
Energy prices,Price: Gas,MESSAGEix-GLOBIOM,Below 2°C,US$2010/GJ,3.605,3.701,4.52,5.385,5.761,5.867,5.355
Energy prices,Price: Gas,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),US$2010/GJ,3.605,3.671,3.813,4.251,4.691,5.148,5.569
Energy prices,Price: Gas,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),US$2010/GJ,3.605,3.671,3.813,6.615,6.123,4.806,5.429
Energy prices,Price: Gas,MESSAGEix-GLOBIOM,Fragmented World,US$2010/GJ,3.605,3.671,3.813,4.927,5.471,5.246,5.659
Energy prices,Price: Gas,MESSAGEix-GLOBIOM,Low Demand,US$2010/GJ,3.605,3.701,6.103,2.469,4.172,4.283,4.767
Energy prices,Price: Gas,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),US$2010/GJ,3.605,3.701,3.936,4.645,5.499,5.419,5.675
Energy prices,Price: Gas,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),US$2010/GJ,3.605,3.701,13.259,1.346,6.744,6.558,2.959
Energy prices,Price: Gas,REMIND-MAgPIE,Below 2°C,US$2010/GJ,3.971,4.599,4.468,5.204,5.145,4.865,4.905
Energy prices,Price: Gas,REMIND-MAgPIE,Current Policies (Hot house world scenario),US$2010/GJ,3.971,4.665,4.63,5.03,5.284,5.56,5.759
Energy prices,Price: Gas,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),US$2010/GJ,3.971,4.665,4.63,5.732,5.35,4.777,4.194
Energy prices,Price: Gas,REMIND-MAgPIE,Fragmented World,US$2010/GJ,3.971,4.665,4.63,4.854,5.245,5.567,5.639
Energy prices,Price: Gas,REMIND-MAgPIE,Low Demand,US$2010/GJ,3.971,4.657,4.335,5.236,4.711,4.126,4.103
Energy prices,Price: Gas,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),US$2010/GJ,3.971,4.541,4.33,4.77,5.074,5.409,5.374
Energy prices,Price: Gas,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),US$2010/GJ,3.971,5.147,5.531,5.921,5.912,4.965,4.413
Energy prices,Price: Oil,GCAM,Below 2°C,US$2010/GJ,15.449,15.994,16.546,16.636,16.627,16.605,16.467
Energy prices,Price: Oil,GCAM,Current Policies (Hot house world scenario),US$2010/GJ,15.449,15.693,15.925,15.909,15.901,15.885,15.607
Energy prices,Price: Oil,GCAM,Delayed Transition (Disorderly scenario),US$2010/GJ,15.449,15.693,15.925,16.428,16.533,16.358,16.135
Energy prices,Price: Oil,GCAM,Fragmented World,US$2010/GJ,15.449,15.693,15.925,16.109,16.136,16.079,15.596
Energy prices,Price: Oil,GCAM,Low Demand,US$2010/GJ,15.449,15.628,15.865,15.974,16.26,17.004,16.981
Energy prices,Price: Oil,GCAM,Nationally Determined Contributions (NDCs),US$2010/GJ,15.449,15.7,15.915,15.88,15.902,15.924,15.709
Energy prices,Price: Oil,GCAM,Net Zero 2050 (Orderly scenario),US$2010/GJ,15.449,16.039,16.821,17.101,17.542,18.9,19.072
Energy prices,Price: Oil,MESSAGEix-GLOBIOM,Below 2°C,US$2010/GJ,3.522,3.675,3.618,4.057,4.202,4.338,5.235
Energy prices,Price: Oil,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),US$2010/GJ,3.522,3.677,3.997,4.377,4.913,4.798,5.32
Energy prices,Price: Oil,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),US$2010/GJ,3.522,3.677,3.997,4.236,4.771,3.484,4.776
Energy prices,Price: Oil,MESSAGEix-GLOBIOM,Fragmented World,US$2010/GJ,3.522,3.677,3.997,4.439,4.606,4.674,5.559
Energy prices,Price: Oil,MESSAGEix-GLOBIOM,Low Demand,US$2010/GJ,3.522,3.675,2.798,2.688,4.037,8.222,3.065
Energy prices,Price: Oil,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),US$2010/GJ,3.522,3.675,4.011,4.339,4.903,4.45,4.988
Energy prices,Price: Oil,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),US$2010/GJ,3.522,3.675,5.249,5.349,9.5,3.526,4.061
Energy prices,Price: Oil,REMIND-MAgPIE,Below 2°C,US$2010/GJ,11.192,12.394,13.194,13.153,14.381,15.788,17.037
Energy prices,Price: Oil,REMIND-MAgPIE,Current Policies (Hot house world scenario),US$2010/GJ,11.192,12.923,13.74,14.086,15.75,17.553,19.451
Energy prices,Price: Oil,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),US$2010/GJ,11.192,12.923,13.74,13.634,14.38,15.898,17.166
Energy prices,Price: Oil,REMIND-MAgPIE,Fragmented World,US$2010/GJ,11.192,12.923,13.74,13.845,15.306,17.041,18.678
Energy prices,Price: Oil,REMIND-MAgPIE,Low Demand,US$2010/GJ,11.192,11.737,11.065,11.347,12.104,12.951,13.765
Energy prices,Price: Oil,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),US$2010/GJ,11.192,12.803,13.479,13.705,15.312,17.12,18.794
Energy prices,Price: Oil,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),US$2010/GJ,11.192,12.124,12.634,12.286,12.966,13.827,14.505
Primary energy,Solar,GCAM,Below 2°C,EJ/yr,0.031,0.09,0.11,0.127,0.146,0.168,0.188
Primary energy,Solar,GCAM,Current Policies (Hot house world scenario),EJ/yr,0.031,0.088,0.112,0.127,0.139,0.154,0.167
Primary energy,Solar,GCAM,Delayed Transition (Disorderly scenario),EJ/yr,0.031,0.088,0.113,0.129,0.146,0.168,0.189
Primary energy,Solar,GCAM,Fragmented World,EJ/yr,0.031,0.089,0.113,0.128,0.142,0.163,0.183
Primary energy,Solar,GCAM,Low Demand,EJ/yr,0.031,0.087,0.108,0.126,0.147,0.166,0.182
Primary energy,Solar,GCAM,Nationally Determined Contributions (NDCs),EJ/yr,0.031,0.089,0.109,0.124,0.136,0.151,0.166
Primary energy,Solar,GCAM,Net Zero 2050 (Orderly scenario),EJ/yr,0.031,0.09,0.109,0.133,0.153,0.174,0.195
Primary energy,Solar,MESSAGEix-GLOBIOM,Below 2°C,EJ/yr,0.205,0.191,0.178,0.194,0.213,0.228,0.245
Primary energy,Solar,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),EJ/yr,0.205,0.22,0.252,0.267,0.292,0.291,0.305
Primary energy,Solar,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),EJ/yr,0.206,0.222,0.255,0.186,0.202,0.215,0.227
Primary energy,Solar,MESSAGEix-GLOBIOM,Fragmented World,EJ/yr,0.206,0.222,0.255,0.268,0.249,0.229,0.249
Primary energy,Solar,MESSAGEix-GLOBIOM,Low Demand,EJ/yr,0.203,0.188,0.167,0.193,0.191,0.2,0.205
Primary energy,Solar,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),EJ/yr,0.205,0.19,0.195,0.224,0.23,0.226,0.231
Primary energy,Solar,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),EJ/yr,0.203,0.189,0.152,0.174,0.171,0.188,0.203
Primary energy,Solar,REMIND-MAgPIE,Below 2°C,EJ/yr,0.074,0.13,0.183,0.217,0.242,0.228,0.275
Primary energy,Solar,REMIND-MAgPIE,Current Policies (Hot house world scenario),EJ/yr,0.074,0.123,0.165,0.192,0.217,0.233,0.242
Primary energy,Solar,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),EJ/yr,0.074,0.124,0.167,0.2,0.236,0.278,0.278
Primary energy,Solar,REMIND-MAgPIE,Fragmented World,EJ/yr,0.074,0.124,0.167,0.194,0.223,0.245,0.261
Primary energy,Solar,REMIND-MAgPIE,Low Demand,EJ/yr,0.073,0.121,0.175,0.199,0.207,0.215,0.221
Primary energy,Solar,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),EJ/yr,0.074,0.128,0.176,0.206,0.235,0.255,0.268
Primary energy,Solar,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),EJ/yr,0.073,0.129,0.186,0.215,0.236,0.256,0.286
Final energy,Solids,GCAM,Below 2°C,EJ/yr,0.135,0.137,0.137,0.135,0.134,0.133,0.131
Final energy,Solids,GCAM,Current Policies (Hot house world scenario),EJ/yr,0.144,0.149,0.154,0.158,0.161,0.167,0.171
Final energy,Solids,GCAM,Delayed Transition (Disorderly scenario),EJ/yr,0.143,0.148,0.153,0.14,0.139,0.14,0.137
Final energy,Solids,GCAM,Fragmented World,EJ/yr,0.138,0.141,0.143,0.143,0.142,0.143,0.142
Final energy,Solids,GCAM,Low Demand,EJ/yr,0.131,0.131,0.128,0.124,0.12,0.111,0.1
Final energy,Solids,GCAM,Nationally Determined Contributions (NDCs),EJ/yr,0.14,0.145,0.149,0.151,0.154,0.159,0.161
Final energy,Solids,GCAM,Net Zero 2050 (Orderly scenario),EJ/yr,0.13,0.13,0.128,0.124,0.119,0.108,0.099
Final energy,Solids,MESSAGEix-GLOBIOM,Below 2°C,EJ/yr,0.101,0.087,0.075,0.065,0.059,0.057,0.058
Final energy,Solids,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),EJ/yr,0.105,0.092,0.081,0.074,0.069,0.069,0.072
Final energy,Solids,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),EJ/yr,0.105,0.092,0.08,0.068,0.061,0.059,0.06
Final energy,Solids,MESSAGEix-GLOBIOM,Fragmented World,EJ/yr,0.102,0.089,0.076,0.068,0.062,0.061,0.063
Final energy,Solids,MESSAGEix-GLOBIOM,Low Demand,EJ/yr,0.102,0.088,0.073,0.063,0.056,0.053,0.052
Final energy,Solids,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),EJ/yr,0.103,0.09,0.078,0.071,0.065,0.065,0.067
Final energy,Solids,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),EJ/yr,0.1,0.086,0.074,0.064,0.055,0.051,0.05
Final energy,Solids,REMIND-MAgPIE,Below 2°C,EJ/yr,0.126,0.121,0.111,0.105,0.1,0.1,0.099
Final energy,Solids,REMIND-MAgPIE,Current Policies (Hot house world scenario),EJ/yr,0.133,0.131,0.124,0.122,0.124,0.131,0.135
Final energy,Solids,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),EJ/yr,0.133,0.131,0.124,0.109,0.105,0.079,0.077
Final energy,Solids,REMIND-MAgPIE,Fragmented World,EJ/yr,0.129,0.125,0.117,0.114,0.112,0.112,0.111
Final energy,Solids,REMIND-MAgPIE,Low Demand,EJ/yr,0.122,0.115,0.101,0.091,0.085,0.083,0.081
Final energy,Solids,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),EJ/yr,0.128,0.124,0.117,0.112,0.111,0.111,0.109
Final energy,Solids,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),EJ/yr,0.12,0.113,0.1,0.09,0.08,0.071,0.069
Emissions and CCS,Total non-CO2 emissions,GCAM,Below 2°C,Mt CO2-equiv/yr,4.28,3.567,2.854,2.14,1.427,0.713,0
Emissions and CCS,Total non-CO2 emissions,GCAM,Current Policies (Hot house world scenario),Mt CO2-equiv/yr,4.28,3.567,2.854,2.14,1.427,0.713,0
Emissions and CCS,Total non-CO2 emissions,GCAM,Delayed Transition (Disorderly scenario),Mt CO2-equiv/yr,4.28,3.567,2.854,2.14,1.427,0.713,0
Emissions and CCS,Total non-CO2 emissions,GCAM,Fragmented World,Mt CO2-equiv/yr,4.28,3.567,2.854,2.14,1.427,0.713,0
Emissions and CCS,Total non-CO2 emissions,GCAM,Low Demand,Mt CO2-equiv/yr,4.28,3.567,2.854,2.14,1.427,0.713,0
Emissions and CCS,Total non-CO2 emissions,GCAM,Nationally Determined Contributions (NDCs),Mt CO2-equiv/yr,4.28,3.567,2.854,2.14,1.427,0.713,0
Emissions and CCS,Total non-CO2 emissions,GCAM,Net Zero 2050 (Orderly scenario),Mt CO2-equiv/yr,4.28,3.567,2.854,2.14,1.427,0.713,0
Emissions and CCS,Total non-CO2 emissions,MESSAGEix-GLOBIOM,Below 2°C,Mt CO2-equiv/yr,4.28,3.567,2.854,2.14,1.427,0.713,0
Emissions and CCS,Total non-CO2 emissions,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),Mt CO2-equiv/yr,4.28,3.567,2.854,2.14,1.427,0.713,0
Emissions and CCS,Total non-CO2 emissions,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),Mt CO2-equiv/yr,4.28,3.567,2.854,2.14,1.427,0.713,0
Emissions and CCS,Total non-CO2 emissions,MESSAGEix-GLOBIOM,Fragmented World,Mt CO2-equiv/yr,4.28,3.567,2.854,2.14,1.427,0.713,0
Emissions and CCS,Total non-CO2 emissions,MESSAGEix-GLOBIOM,Low Demand,Mt CO2-equiv/yr,4.28,3.567,2.854,2.14,1.427,0.713,0
Emissions and CCS,Total non-CO2 emissions,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),Mt CO2-equiv/yr,4.28,3.567,2.854,2.14,1.427,0.713,0
Emissions and CCS,Total non-CO2 emissions,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),Mt CO2-equiv/yr,4.28,3.567,2.854,2.14,1.427,0.713,0
Emissions and CCS,Total non-CO2 emissions,REMIND-MAgPIE,Below 2°C,Mt CO2-equiv/yr,4.28,3.567,2.854,2.14,1.427,0.713,0
Emissions and CCS,Total non-CO2 emissions,REMIND-MAgPIE,Current Policies (Hot house world scenario),Mt CO2-equiv/yr,4.28,3.567,2.854,2.14,1.427,0.713,0
Emissions and CCS,Total non-CO2 emissions,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),Mt CO2-equiv/yr,4.28,3.567,2.854,2.14,1.427,0.713,0
Emissions and CCS,Total non-CO2 emissions,REMIND-MAgPIE,Fragmented World,Mt CO2-equiv/yr,4.28,3.567,2.854,2.14,1.427,0.713,0
Emissions and CCS,Total non-CO2 emissions,REMIND-MAgPIE,Low Demand,Mt CO2-equiv/yr,4.28,3.567,2.854,2.14,1.427,0.713,0
Emissions and CCS,Total non-CO2 emissions,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),Mt CO2-equiv/yr,4.28,3.567,2.854,2.14,1.427,0.713,0
Emissions and CCS,Total non-CO2 emissions,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),Mt CO2-equiv/yr,4.28,3.567,2.854,2.14,1.427,0.713,0
Primary energy,Wind,GCAM,Below 2°C,EJ/yr,0.089,0.112,0.13,0.147,0.159,0.169,0.179
Primary energy,Wind,GCAM,Current Policies (Hot house world scenario),EJ/yr,0.088,0.106,0.116,0.129,0.139,0.147,0.152
Primary energy,Wind,GCAM,Delayed Transition (Disorderly scenario),EJ/yr,0.089,0.106,0.117,0.139,0.155,0.166,0.181
Primary energy,Wind,GCAM,Fragmented World,EJ/yr,0.089,0.107,0.118,0.135,0.15,0.16,0.169
Primary energy,Wind,GCAM,Low Demand,EJ/yr,0.088,0.108,0.126,0.146,0.161,0.175,0.185
Primary energy,Wind,GCAM,Nationally Determined Contributions (NDCs),EJ/yr,0.088,0.108,0.121,0.134,0.145,0.152,0.156
Primary energy,Wind,GCAM,Net Zero 2050 (Orderly scenario),EJ/yr,0.088,0.112,0.137,0.155,0.169,0.184,0.194
Primary energy,Wind,MESSAGEix-GLOBIOM,Below 2°C,EJ/yr,0.061,0.108,0.124,0.117,0.115,0.118,0.122
Primary energy,Wind,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),EJ/yr,0.061,0.107,0.127,0.119,0.099,0.114,0.121
Primary energy,Wind,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),EJ/yr,0.061,0.108,0.129,0.136,0.119,0.127,0.133
Primary energy,Wind,MESSAGEix-GLOBIOM,Fragmented World,EJ/yr,0.061,0.108,0.129,0.109,0.119,0.144,0.155
Primary energy,Wind,MESSAGEix-GLOBIOM,Low Demand,EJ/yr,0.06,0.106,0.131,0.114,0.111,0.118,0.131
Primary energy,Wind,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),EJ/yr,0.061,0.107,0.125,0.131,0.125,0.136,0.157
Primary energy,Wind,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),EJ/yr,0.061,0.107,0.141,0.133,0.136,0.149,0.156
Primary energy,Wind,REMIND-MAgPIE,Below 2°C,EJ/yr,0.081,0.092,0.097,0.116,0.13,0.127,0.158
Primary energy,Wind,REMIND-MAgPIE,Current Policies (Hot house world scenario),EJ/yr,0.081,0.092,0.096,0.108,0.114,0.119,0.126
Primary energy,Wind,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),EJ/yr,0.081,0.093,0.097,0.11,0.118,0.137,0.143
Primary energy,Wind,REMIND-MAgPIE,Fragmented World,EJ/yr,0.081,0.093,0.097,0.111,0.119,0.129,0.14
Primary energy,Wind,REMIND-MAgPIE,Low Demand,EJ/yr,0.08,0.094,0.099,0.119,0.13,0.138,0.145
Primary energy,Wind,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),EJ/yr,0.081,0.09,0.093,0.106,0.116,0.126,0.136
Primary energy,Wind,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),EJ/yr,0.08,0.093,0.104,0.127,0.141,0.158,0.177
