station_id,theta_ols,kappa_ols,sigma_ols,theta_mle,kappa_mle,sigma_mle,mle_2_mu,mle_2_eta,mle_2_sigma_sq
Station6010,2.26914383262345,0.46459392430086605,0.521728600137378,2.2688115911771543,0.46442803851198783,1.5022661500413803,2.2691438267102124,0.46459473449003713,2.25723215980362
Station6011,1.989999999999999,0.004873032473499205,0.030831494623979484,1.8952380952381007,0.0020030006690003937,0.03864680289669861,1.9899999999999995,0.33328389813304843,0.135246605862391
Station6012,3.9225020345652246,0.07289852040194256,0.37758444122700763,3.920577129173007,0.07286035348097707,1.487074106020195,3.9225018359989647,0.0728981199887299,2.2125350776010366
Station6013,5.930959227231254,0.39201143154755613,1.0834931829195757,5.9303905790079705,0.39194760927737166,4.16815408309543,5.93095922652011,0.39201126737412817,17.375359555669387
Station6014,15.170284166397506,0.03343116029699807,0.6094847497568022,15.154681789663716,0.033334132965029725,2.4230949698773077,15.170281234133064,0.03343206213244803,5.878625606419978
Station6015,1.8376856922983564,0.13967757174461365,0.3615268702468903,1.8371459453489658,0.1396540341692156,1.3320203275550175,1.837685692299854,0.13967757178676773,1.7748202077128974
Station6016,4.421528759300221,0.21899058760374307,0.5246224777789305,4.421119331962301,0.2189667645409265,2.7496775614387228,4.421528758646323,0.21899057022827786,7.561454961577722
Station6017,2.5184559338990966,2.452095240259526,1.6221393813262832,2.518406935313114,2.4520425659624694,5.54249165875672,2.5168783529245258,1.0,28.64335102984363
Station6018,3.921726882623607,0.8802561870771445,1.0736658524864804,3.921518277104203,0.8801554745585819,3.7023528532424543,3.9217268826193163,0.8802561699706636,13.708274153319831
Station6019,2.128540742155001,2.5814663667339395,1.7905951050935491,2.1284896602773404,2.581410155544171,5.372769372601049,2.12748735982739,1.0,26.3265633506857
Station6020,1.622540074256373,0.8142880883005428,0.9605477424185026,1.622385399735675,0.8142303478818669,2.5780254221940715,1.6225400744845981,0.8142881879963529,6.646911157762944
Station6022,3.220397718262483,0.25252876823986575,0.5343499591747262,3.2199531221061393,0.25248603279433945,2.133227872831684,3.220397718245209,0.2525287732023719,4.551337034550383
Station6023,2.124434372727233,0.5018656618154012,0.5954135846771665,2.124187938102929,0.5017792870876394,1.8427852568877505,2.124434372698878,0.5018656419639278,3.3963103691432917
Station6025,2.288677555834239,0.6082242665934317,0.49910781435969825,2.2885145629485875,0.6081310145472025,1.7892864063706955,2.288677555821777,0.6082242481156271,3.2018110383607037
Station6026,1.409088521578272,1.9822775769833623,0.7658116046891408,1.4090575715353326,1.9822280970260646,2.7384779852198737,1.4089235154240523,1.0,7.083541433778629
Station6027,1.1690909315867595,0.6495902766648293,0.6548300767578139,1.1689745939885114,0.6495553793834263,1.9235083900600216,1.1690909524228164,0.6495960575383991,3.700281630335523
Station6028,3.6793205591266305,2.14864966778657,1.8647165371334309,3.6792514812818817,2.1485970359093582,6.9263275809326466,3.6783709508785685,1.0,45.37523983522151
Station6029,2.687442638266156,2.082276093147964,1.1855047191877595,2.687404815329863,2.0822412234641585,5.163565680011191,2.6879333005200388,1.0,25.617761023150425
Station6030,2.6637085878271707,0.08045826551540494,0.3149203364701733,2.6620189696991683,0.0803987037991147,1.0374593171770405,2.6637085139521917,0.08045874511355272,1.0770810805048556
Station6031,1.8560602958043824,0.7072569752984726,0.6792341534083123,1.8559610282818455,0.7072278695215058,2.6042933281887235,1.856060295784791,0.7072569988552617,6.782725187077516
Station6032,5.704793334529694,0.14135448466587966,0.6026179446703025,5.702561796125239,0.14120140772127657,1.9151637657406733,5.704793336409163,0.14135452842016197,3.669665784555003
Station6033,1.1433850073673129,0.41276981011075414,0.28574910305471424,1.1432699436242804,0.4127255790074167,1.045343156046643,1.143385007394495,0.412769789229276,1.0928608758692102
Station6034,45.64930570056131,0.05741383277080003,5.310594562567326,45.63676326488818,0.057409918647615236,31.502478630950957,45.649305696341635,0.05741382112277304,992.6807674521044
Station6035,2.30395735812112,0.08413905624257063,0.23010950548967693,2.303149200142937,0.08411106456294043,0.9971437783810876,2.3039573442446772,0.08413921015027627,0.9946631765195908
Station6037,2.6236927789888096,0.9551797496760703,1.1859657063351225,2.623556519927615,0.9551345073482993,3.97432386711297,2.623692778843014,0.9551798794438613,15.796136082209125
Station6039,19.43476404230538,0.09837893984294023,1.1273035034816081,19.428604990322594,0.09827008298651072,4.746624596854794,19.43476402456384,0.09837902578892163,22.538991509224402
Station6041,3.0928845607664823,0.25092905454978714,0.4723100173182981,3.092443213347077,0.2508762543076347,1.8635103837306293,3.0928845605800537,0.2509290442286534,3.473211565029825
Station6042,1.1375229859800968,1.716227724053018,0.8920084020632276,1.1374867507370299,1.7161946424279,2.848078824618842,1.1372105786378588,1.0,7.618179620916231
Station6043,1.9991387334673598,0.4958438351184143,0.7202527363031309,1.9989168736281813,0.49579788294729543,2.291106923285614,1.999138741701157,0.495842094255607,5.249797309728834
Station6044,1.7249061154244296,0.009495194664363014,0.06772686234187586,1.7173754258398728,0.009451319863621273,0.24223460546412398,1.7248582903967533,0.009500215083926768,0.05897431366438875
Station6045,6.851406117881744,0.5600233705797476,1.5325191106183986,6.851136035890908,0.5600029754910033,7.69050742092969,6.851406117683298,0.5600233615397402,59.14631634247178
Station6046,2.711609137074087,0.0724875500678338,0.22977803162639196,2.7104259100608825,0.07244962074675314,0.964730903608931,2.7116090716959804,0.0724873652921486,0.9311341041697692
Station6047,4.3003837103032465,0.9960791397636141,1.3008487126935355,4.30016547715299,0.9959699285887306,4.320709471351707,4.30038371030354,0.996079139850646,18.669656550456853
Station6048,4.880379919773072,0.02773539175318169,0.2008784890267418,4.87035225472207,0.027502412587072887,0.6043828570297898,4.880369321255168,0.027739662916737677,0.3663982726813502
Station6049,2.9380458597729406,0.17362925652033873,0.47109324511847706,2.9374539757753437,0.17359761522889436,1.8786358734678914,2.938045859372157,0.17362923909853303,3.530022614446068
Station6050,2.626497695852539,0.049239263098398524,0.23251490219554413,2.6244819646968542,0.04920465534523169,0.8907674901408786,2.626497695852536,0.04923926130700994,0.7941132709664355
Station6051,5.423951041411225,0.5185108530146413,1.7342999390296778,5.423557425326894,0.5184832066395553,6.668054466534466,5.423951041405654,0.5185108260043463,44.46633390501959
Station6053,1.0172002090956618,1.750412212243987,0.7199750637971164,1.0171789403253455,1.7503942277148763,2.806959500957761,1.017200209095663,1.0,7.544543076763859
Station6054,4.722354870213198,0.11499204063541515,0.43488811371968145,4.719727635672807,0.11476711373432756,1.2817029998591225,4.722354871380949,0.1149920077902709,1.6440372590063916
Station6055,1.1979622535919268,0.5362498497111594,0.5343757584065559,1.1978300933592874,0.5362121280895291,1.6397214414733927,1.1979622410339286,0.5362548688777751,2.68900767518098
Station6056,1.5849244419168123,0.274372369735367,0.37241811222825477,1.5845244296786383,0.2742756771594518,1.058249070506757,1.5849244417122117,0.2743723474410707,1.120220325630116
Station6058,6.084781771962958,0.6400421651334539,0.9672115686646205,6.084530623165892,0.639975284847581,4.433906213254669,6.084781771487671,0.6400422506801668,19.66043347726243
Station6059,2.5799150000755366,0.5082496344603863,0.6979663629708671,2.5796513271752843,0.5081756805365838,2.2854615996395116,2.5799150000551956,0.5082495965298979,5.223937318497273
