Unnamed: 0,Property Name,GFA,"IFA
(sq ft)",Unnamed: 3,Car Parking Spaces,"Annual Net 
Passing Income
(HKD Million)","Capitalisation 
Rate","Value as at 
31 March 2024
(HKD Million)","Analysis
Initial 
Yield",MV as % of total ,Property,lat,lon
49,Oi Tung Shopping Centre,,"81,029",,634,66.4,4.29%,"1,390.50",4.78%,0.77%,Oi Tung Shopping Centre,22.2806291,114.2277677
50,Po Lam Shopping Centre,,"86,730",,398,60.5,4.46%,"1,285.30",4.71%,0.71%,Po Lam Shopping Centre,22.322749,114.24900992326339
51,Mei Lam Shopping Centre,,"75,989",,375,63.5,4.26%,"1,355.20",4.68%,0.75%,Mei Lam Shopping Centre,22.3160164,114.17194717722089
52,Hing Wah Plaza,,"82,011",,268,62.2,4.40%,"1,247.60",4.98%,0.69%,Hing Wah Plaza,22.262502750000003,114.23581980493805
53,Fu Heng Shopping Centre,,"55,030",,517,64.5,4.33%,"1,280.80",5.03%,0.71%,Fu Heng Shopping Centre,22.458172949999998,114.17124511687521
54,Un Chau Shopping Centre,,"50,868",,213,56.5,3.93%,"1,286.80",4.39%,0.71%,Un Chau Shopping Centre,22.3375837,114.1560458827973
55,Lung Hang Commercial Centre,,"64,037",,440,54.7,4.24%,"1,178.90",4.64%,0.65%,Lung Hang Commercial Centre,22.253528850000002,113.8655630825786
56,Kwong Fuk Commercial Centre,,"69,556",,461,53.8,4.44%,"1,191.30",4.52%,0.66%,Kwong Fuk Commercial Centre,22.4470816,114.1742965
57,Wan Tsui Commercial Complex,,"82,296",,359,49.6,4.40%,"1,205.90",4.11%,0.67%,Wan Tsui Commercial Complex,22.3456432,114.18927521175286
58,Lok Wah Commercial Centre,,"98,078",,650,52.2,4.30%,"1,144.80",4.56%,0.63%,Lok Wah Commercial Centre,22.321909650000002,114.22003717235114
59,Maritime Bay,,"41,017",,-,41.5,4.10%,898.4,4.61%,0.50%,Maritime Bay,22.3146164,114.26563958336149
60,Yiu On Shopping Centre,,"50,765",,547,49,4.19%,"1,024.90",4.78%,0.57%,Yiu On Shopping Centre,22.4199451,114.23092246225525
61,Cheung Wah Shopping Centre,,"77,181",,353,46.8,4.30%,"1,006.80",4.65%,0.56%,Cheung Wah Shopping Centre,22.4931891,114.14050711074381
62,Hiu Lai Shopping Centre,,"34,560",,637,41.5,4.17%,962.2,4.31%,0.53%,Hiu Lai Shopping Centre,22.32074725,114.2293903917526
63,Hoi Fu Shopping Centre,,"40,335",,225,43.2,4.20%,898.5,4.81%,0.50%,Hoi Fu Shopping Centre,22.31529265,114.1645158
64,Tin Tsz Shopping Centre,,"36,865",,289,39.6,4.23%,815.5,4.85%,0.45%,Tin Tsz Shopping Centre,22.45318315,114.00689281170337
65,Sam Shing Commercial Centre,,"68,901",,176,45.8,4.41%,966.4,4.74%,0.53%,Sam Shing Commercial Centre,22.253528850000002,113.8655630825786
66,Hing Tung Shopping Centre,,"53,034",,420,22.3,4.22%,641.9,3.47%,0.35%,Hing Tung Shopping Centre,22.2806426,114.22009631058825
67,Kin Sang Shopping Centre,,"43,868",,273,28.2,4.20%,675.5,4.17%,0.37%,Kin Sang Shopping Centre,22.40710445,113.96947024353638
68,Yiu Tung Shopping Centre,,"61,683",,685,25.7,4.32%,594.1,4.32%,0.33%,Yiu Tung Shopping Centre,22.2773628,114.2241993710508
69,Ping Tin Shopping Centre,,"24,400",,406,27,4.38%,577,4.68%,0.32%,Ping Tin Shopping Centre,22.3058653,114.23734572484342
70,Retail and Car Park within Tung Tau Estate,,"37,555",,493,29.8,4.25%,662.6,4.49%,0.37%,Retail and Car Park within Tung Tau Estate,22.33527745,114.1927625421171
71,Shun On Commercial Centre,,"80,508",,459,26.3,4.35%,605.2,4.35%,0.33%,Shun On Commercial Centre,22.28792755,114.15186463651807
72,Yin Lai Court Shopping Centre,,"10,584",,150,20,4.23%,389,5.14%,0.21%,Yin Lai Court Shopping Centre,22.34863625,114.12648946597895
73,Car Park within Kin Ming Estate,,0,,763,24.1,4.60%,479.9,5.01%,0.27%,Car Park within Kin Ming Estate,22.4064264,113.9651167
74,Retail and Car Park within Cheung On Estate,,"3,915",,484,18.2,4.22%,428.2,4.25%,0.24%,Retail and Car Park within Cheung On Estate,22.3605,114.1047
75,Retail and Car Park within Hong Pak Court,,"17,956",,549,20.6,4.01%,478.2,4.31%,0.26%,Retail and Car Park within Hong Pak Court,22.30251825,114.23923431594059
76,Retail and Car Park within Cheung Wang Estate,,"11,532",,333,19.7,4.49%,400.5,4.91%,0.22%,Retail and Car Park within Cheung Wang Estate,22.3569939,114.09538752107403
77,Car Park within Tin Yuet Estate,,0,,560,17.7,4.00%,395.2,4.47%,0.22%,Car Park within Tin Yuet Estate,22.46347385,114.00723816197524
78,Retail and Car Park within Lok Wah (South) Estate,,"16,086",,226,13.3,4.56%,286,4.63%,0.16%,Retail and Car Park within Lok Wah (South) Estate,22.3205928,114.2205841
79,Po Hei Court Commercial Centre,,"13,686",,-,9.2,3.50%,266.6,3.46%,0.15%,Po Hei Court Commercial Centre,22.337491749999998,114.15884448189351
80,Retail and Car Park within Wo Ming Court,,"7,342",,379,12,3.92%,326.2,3.67%,0.18%,Retail and Car Park within Wo Ming Court,22.315732949999997,114.26635198698756
81,Retail and Car Park within Ko Chun Court,,"7,332",,323,13.4,4.13%,306.8,4.37%,0.17%,Retail and Car Park within Ko Chun Court,22.3633165,114.13035774694339
82,Car Park within Ka Tin Court,,0,,348,10.2,4.00%,262,3.90%,0.14%,Car Park within Ka Tin Court,22.3618624,114.15124818619952
83,Retail and Car Park within Ching Wah Court,,"9,118",,348,12.1,4.04%,281.7,4.29%,0.16%,Retail and Car Park within Ching Wah Court,22.3142849,114.24010159911361
84,Retail and Car Park within Tin Yat Estate,,"8,784",,446,12.1,4.20%,286.2,4.22%,0.16%,Retail and Car Park within Tin Yat Estate,22.4678537,113.99977695458072
85,Car Park within Tin King Estate,,0,,380,12.1,3.90%,283.9,4.25%,0.16%,Car Park within Tin King Estate,22.4064264,113.9651167
86,Car Park within Tsz Man Estate,,0,,364,12.2,4.50%,255.7,4.77%,0.14%,Car Park within Tsz Man Estate,22.348229099999998,114.2028415
